,CA,CN,DE,ES,FR,IN,IT,JP,UK,US,BR,MX
Apparel,,2016156051,78689031,,340855031,,,361299011,83451031,7141123011,,
Appliances,,80208071,931573031,,908827031,,,2277725051,908799031,2619526011,,
ArtsAndCrafts,,,,,,,,,,2617942011,,
Automotive,6948389011,1947900051,78193031,1951052031,1571266031,,1571281031,2017305051,248877031,15690151,,
Baby,3561347011,42693071,357577011,1703496031,206618031,1571275031,1571287031,13331821,60032031,165797011,,9482651011
Beauty,6205125011,746777051,64257031,,197859031,1355017031,,52391051,66280031,11055981,,
Books,927726,658391051,541686,599365031,468256,976390031,411664031,465610,1025612,1000,7841278011,9298577011
Classical,962454,,542676,,537366,,,562032,505510,301668,,
Collectibles,,,,,,,,,,4991426011,,
DVD,14113311,,547664,599380031,578608,976417031,412607031,562002,283926,2625374011,,9482631011
DigitalMusic,,,,,,,,,,195208011,,
Electronics,677211011,2016117051,569604,667050031,1058082,976420031,412610031,3210991,560800,493964,,9482559011
ForeignBooks,927726,,54071011,599368031,69633011,,433843031,388316011,,,,
Garden,,,,,,,635017031,,,,,
GiftCards,,,,,,,,,,2864120011,,
GourmetFood,,,,,,,,,,3580501,,
Grocery,6967216011,2127216051,344162031,,,,,57240051,340834031,16310211,,
HealthPersonalCare,6205178011,852804051,64257031,,197862031,,,161669011,66280031,3760931,,9482611011
Hobbies,,,,,,,,13331821,,,,
Home,,2016127051,,,,,,,,,,
HomeGarden,,,10925241,,,2454176031,,,11052591,284507,,
HomeImprovement,,1952921051,,,590749031,,,,2016929051,,,9482671011
Industrial,,,,,,,,,,228239,,
Jewelry,,816483051,327473011,2454127031,193711031,1951049031,2454164031,85896051,193717031,3880591,,
KindleStore,2972706011,116088071,530485031,530484031,818936031,,818937031,2250739051,341677031,133141011,5308308011,6446440011
Kitchen,2206276011,,3169011,599392031,57686031,,524016031,3839151,11052591,284507,,9482594011
LawnAndGarden,6299024011,,,,,,,,,2972638011,,
Lighting,,,213084031,,213081031,,1571293031,,2454167031,,,
Luggage,6205506011,,2454119031,2454130031,2454146031,2454170031,2454149031,,2454166031,,,
MP3Downloads,,,77195031,1748201031,206442031,,1748204031,2129039051,77198031,195211011,,
Magazines,,,1161660,,,,,,,599872,,
Miscellaneous,,899280051,,,,,,,,10304191,,
MobileApps,,,1661650031,1661651031,1661655031,,2381130051,2381131051,2350149011,2350150011,6563510011,
Music,962454,754387051,542676,599374031,537366,976446031,412601031,562032,505510,301668,,9482621011
MusicTracks,,,542676,,301164,,,562032,340838031,301668,,
MusicalInstruments,,2127219051,340850031,,340862031,,,2123630051,340837031,11091801,,
OfficeProducts,6205512011,2127222051,192417031,,192420031,,,86732051,560800,1084128,,
OutdoorLiving,,,10925051,,,,,,11052591,1063498,,
Outlet,,,245405031,,,,,,245408031,,,
PCHardware,,,569604,,,976393031,425917031,,340832031,493964,,
PetSupplies,6205514011,118864071,427727031,,1571269031,,,2127213051,340841031,1063498,,
Photo,,755653051,569604,,,,,,,493964,,
Shoes,,2029190051,362995011,1571263031,215934031,,524007031,2016926051,362350011,672124011,,
Software,3234171,863873051,542064,599377031,548012,,412613031,637630,1025614,409488,,9482691011
SoftwareVideoGames,3323751,,541708,,548014,,,,1025616,,,
SportingGoods,2242990011,836313051,16435121,2665403031,325615031,,524013031,14304371,319530011,3375301,,9482661011
Tools,3006903011,,235002011,2454134031,,,2454161031,,11052591,468240,,
Toys,6205517011,647070051,12950661,599385031,548014,1350380031,523997031,13331821,712832,165793011,,
VHS,962072,,547082,,578610,,,2130989051,283926,404272,,
Video,962454,2016137051,547664,,578608,,,561972,283926,130,,
VideoGames,110218011,897416051,541708,599383031,548014,976461031,412604031,637872,1025616,493964,,9482641011
Watches,2235621011,1953165051,193708031,599389031,60937031,1350388031,524010031,324025011,595312,377110011,,9482681011
Wireless,,,,,,,,,,508494,,
WirelessAccessories,,,,,,,,,,13900851,,
